NUTS_ID,X,Y
FI200,20.125304291848654,60.21793513170259
FI1C2,24.325364576872644,60.9188971564958
FI1C3,25.7030165141404,61.21110686826446
EE008,26.497847715424584,58.266136139805305
DK022,11.658644205903958,55.24500336020787
DK032,9.07551916439087,55.39128153999819
FI196,22.147782707965884,61.528355508455235
DK013,12.243089911298064,55.91987017333075
DK014,14.911582503393804,55.124314252991255
DK021,12.051761630260529,55.57098810209137
NO092,7.623329361724009,58.69773714306968
LV007,24.247031691851106,57.103979299993945
EE004,23.685132285578167,58.550582457286076
DK042,10.04993462829346,56.20334434284962
LT026,23.308085475341425,55.93874590597663
LT027,22.448108085129142,55.30070422719917
IS002,-18.549822445569482,64.99258652922133
FI193,25.423857102842067,62.519241449459244
NO091,8.718283420843518,59.49305936564267
EE001,24.9243344133573,59.308096803725654
NO020,10.425934377877939,61.44501738727986
DK011,12.589200222387406,55.644230375582154
DK012,12.385787311668803,55.69389754925335
FI197,23.67402386431004,61.69359111571454
FI195,22.148415126431615,63.083311838873584
DK041,8.859052260212488,56.284988324434735
EE00A,27.408002121032705,59.197497934098585
DK031,10.369261243140537,55.271302668097356
NO082,9.91028138409318,60.08277008866314
FI1B1,24.76662566280657,60.36454543576657
FI1C4,26.886957040511117,60.82146750186453
FI194,23.05590661612076,62.73685269843663
FI1C1,22.541706013555775,60.55645527918497
FI1D7,26.324400929880486,67.72905319391599
FI1D1,27.851024073509063,61.8864300089415
FI1D3,29.939580119044155,62.91768527506135
FI1D8,28.71438219098686,64.52113527313989
FI1D2,27.480450767438263,63.15553603519591
NO0A2,6.425899704821229,60.92311554762187
NO060,11.396231720855562,63.76208231432611
NO074,23.680365811275212,69.72021892938609
DK050,9.67551746855864,57.053057049860314
NO0A1,6.212269204084748,59.112478430171706
NO081,10.73941151193137,59.981145254494415
SE122,16.68983189397949,59.08147062696942
LV009,24.708980425041386,56.48730295500558
LT021,24.12515725314097,54.221718987723925
LT025,24.80275773504472,55.91774914731284
LV006,24.122098971924277,56.97821789595114
IS001,-21.673487634785978,64.15851941337114
LV005,27.17060576373968,56.39832445310482
LV008,26.047717133450476,57.30049172343239
LT022,23.883900733704508,55.076378786702755
LV003,21.991468242838103,56.92482420245128
FI1D5,24.064536596036664,63.60825843143464
SE213,16.12773494095904,57.194659699437096
FI1D9,26.621754209569687,64.94533440845484
FI1C5,28.378355559857585,61.20142692154254
LT023,21.50593053956424,55.753815640258495
LT024,23.171320605219133,54.70480286546831
LT028,22.16478675080266,56.001488687893875
LT029,25.6993374831199,55.47894289464843
SE232,12.835947631556087,58.312644037417854
SE331,17.82972323494622,64.86506070058452
SE322,14.312134485034612,63.25765903474336
SE332,20.09075801775999,66.95254683446821
SE124,14.971887117341927,59.3574625324909
SE125,16.163853091043794,59.74733188206182
SE123,15.670638319887344,58.361648285461875
SE231,12.836645668179607,56.96091206148964
SE321,17.25970470995443,63.09869860257105
SE312,14.347474518814506,60.959731308452355
SE221,15.198877825109454,56.27949075039646
SE211,14.407787179045851,57.53314702368657
LT011,25.23430824630901,54.82290358019803
SE313,16.29244069989798,61.44831439432062
SE224,13.596044597057908,55.952375022071315
SE311,13.152658911013331,59.77384422749226
SE110,18.164334464477847,59.47069494553967
SE121,17.587455579608438,60.05405939757001
SE214,18.54379756533195,57.514265751988646
SE212,14.571419344671714,56.79423784334511
NO0A3,7.64611789347775,62.58261086713749
NO071,14.730543215867351,66.9065446136677
NO0B1,-8.394795196916613,71.01473841518549
EE009,25.624422954299604,59.05963582562235
NO0B2,18.339805843738635,78.85669834998292
